Date,Address,Rent (HKD),Area (呎),Rate,Price/sq foot,,Average price/sq foot
22/08/2024,朗逸峰 1期 8座 低層 A室,"$31,000",1008,31,$30.75,TRUE,
22/08/2024,利奧坊‧曦岸 2座 高層 D室,"$16,500",257,64,$64.20,TRUE,
22/08/2024,帝庭居 2期 7座 D室,"$12,000",526,23,$22.81,TRUE,
22/08/2024,海寶花園 B座 低層 6室,"$18,000",527,34,$34.16,TRUE,
22/08/2024,栢蕙苑 康柏閣 (3座) 高層 C室,"$22,500",545,41,$41.28,TRUE,
22/08/2024,百德大廈 D座 中層 D2室,"$27,000",817,33,$33.05,TRUE,
22/08/2024,康蕙花園 1座 低層 F室,"$20,500",524,39,$39.12,TRUE,
22/08/2024,將軍澳中心 2期 11座 中層 B室,"$17,000",437,39,$38.90,TRUE,
22/08/2024,天晉 ll 5A座 高層 B室,"$32,000",843,38,$37.96,TRUE,
22/08/2024,新屯門中心 4座 高層 B室,"$12,800",462,28,$27.71,TRUE,
22/08/2024,星凱‧堤岸 5座 高層 G室,"$19,300",347,56,$55.62,TRUE,
22/08/2024,海日灣II 13座 中層 C室,"$12,000",252,48,$47.62,TRUE,
22/08/2024,海日灣II 12座 高層 C室,"$13,000",251,52,$51.79,TRUE,
22/08/2024,海天徑 19-25 號 25號,"$68,000",1932,35,$35.20,TRUE,
22/08/2024,嘉匯 2座 高層 C室,"$22,000",455,48,$48.35,TRUE,
22/08/2024,德福閣 高層 C室,"$32,000",886,36,$36.12,TRUE,
22/08/2024,翰林峰 1座 中層 A室,"$23,000",330,70,$69.70,TRUE,
22/08/2024,昌運大廈 低層 A室,"$17,000",352,48,$48.30,TRUE,
22/08/2024,美菲閣 1座 低層 G室,"$15,700",302,52,$51.99,TRUE,
22/08/2024,泓都 3座 高層 A室,"$26,000",482,54,$53.94,TRUE,
22/08/2024,康威花園 B座 高層 6室,"$15,800",380,42,$41.58,TRUE,
22/08/2024,蔚然 高層 B室,"$110,000",1589,69,$69.23,TRUE,
22/08/2024,嘉華大廈 高層 A室,"$8,600",224,38,$38.39,TRUE,
22/08/2024,逸雅苑 逸榮閣 (A座) 中層 16室,"$16,500",566,29,$29.15,TRUE,
22/08/2024,翠屏花園 A座 高層 5室,"$10,000",262,38,$38.17,TRUE,
22/08/2024,翠怡花園 2期 8座 中層 G室,"$15,000",368,41,$40.76,TRUE,
22/08/2024,嘉匯 9座 高層 D室,"$17,000",348,49,$48.85,TRUE,
22/08/2024,愉景新城 3期 11座 高層 B室,"$16,000",493,32,$32.45,TRUE,
22/08/2024,尚翹峰 1期 3座 高層 A室,"$25,700",477,54,$53.88,TRUE,
22/08/2024,Monaco One 1期 2B座 中層 A室,"$28,000",548,51,$51.09,TRUE,
22/08/2024,海濱南岸 3座 高層 A室,"$19,000",432,44,$43.98,TRUE,
22/08/2024,翹翠峰 2座 中層 D室,"$14,200",526,27,$27.00,TRUE,
22/08/2024,凱帆軒 2座 高層 F室,"$19,000",429,44,$44.29,TRUE,
22/08/2024,雲暉大廈 B座 中層 1室,"$78,000",1513,52,$51.55,TRUE,
21/08/2024,裕仁大廈 A座 低層 2室,"$44,000",1312,34,$33.54,TRUE,
21/08/2024,名城 1期 5座 高層 SD室,"$31,000",739,42,$41.95,TRUE,
21/08/2024,粉嶺中心 1期 E座 高層 1室,"$11,300",368,31,$30.71,TRUE,
21/08/2024,海之戀 3期A 海之戀．愛炫美 5A座 低層 A室,"$45,000",1163,39,$38.69,TRUE,
21/08/2024,University Hill 2B期 優景閣 第5座 中層 A3室,"$14,500",291,50,$49.83,TRUE,
21/08/2024,盈翠半島 1期 3座 中層 H室,"$20,000",518,39,$38.61,TRUE,
21/08/2024,嘉熙 8座 中層 D室,"$23,300",600,39,$38.83,TRUE,
21/08/2024,愉景灣 1期明翠台 觀星樓 中層 C室,"$16,500",588,28,$28.06,TRUE,
21/08/2024,高爾夫．御苑 7座 中層 H室,"$9,700",277,35,$35.02,TRUE,
21/08/2024,新港城 4期 J座 中層 1室,"$21,000",519,40,$40.46,TRUE,
21/08/2024,美孚新邨 5期 恆柏街5-7號 高層 5號C室,"$17,500",507,35,$34.52,TRUE,
21/08/2024,又一居 1座 低層 C室,"$26,000",566,46,$45.94,TRUE,
21/08/2024,日出康城 9期A Marini 3座 (3A) 低層 E室,"$17,800",495,36,$35.96,TRUE,
21/08/2024,景峰豪庭 1座 中層 F室,"$13,500",508,27,$26.57,TRUE,
21/08/2024,海璇 1B期 6座 低層 E室,"$34,920",377,93,$92.63,TRUE,
21/08/2024,香島 1座 低層 E室,"$49,450",1052,47,$47.01,TRUE,
21/08/2024,yoo Residence 高層 C室,"$30,000",519,58,$57.80,TRUE,
21/08/2024,恆運樓 低層 D室,"$9,000",291,31,$30.93,TRUE,
21/08/2024,天璽 21座 - 1區 (日鑽) 中層 D室,"$55,000",885,62,$62.15,TRUE,
21/08/2024,日出康城 5期A Malibu 1A座 中層 B室,"$31,000",847,37,$36.60,TRUE,
21/08/2024,聚賢居 1座 高層 B室,"$23,500",400,59,$58.75,TRUE,
21/08/2024,維港滙 3期 1座 (1B) 高層 E室,"$16,000",280,57,$57.14,TRUE,
21/08/2024,清水灣半島 2期 8座 低層 D室,"$17,000",521,33,$32.63,TRUE,
21/08/2024,天晉 IIIA 3A座 中層 B室,"$18,500",352,53,$52.56,TRUE,
21/08/2024,海傲灣 1A座 低層 D室,"$18,000",425,42,$42.35,TRUE,
21/08/2024,日出康城 6期 Lp6 5座 低層 A室,"$25,500",658,39,$38.75,TRUE,
21/08/2024,利奧坊‧曦岸 1座 低層 L室,"$19,000",255,75,$74.51,TRUE,
21/08/2024,晟林 低層 A室,"$20,800",420,50,$49.52,TRUE,
21/08/2024,翠豐臺 2座 高層 B室,"$15,800",446,35,$35.43,TRUE,
21/08/2024,薈朗 1座 高層 A05室,"$12,000",224,54,$53.57,TRUE,
21/08/2024,維景灣畔 1期 5座 中層 E室,"$18,500",513,36,$36.06,TRUE,
21/08/2024,帝御 2期 帝御‧星濤 2座 中層 22室,"$11,000",301,37,$36.54,TRUE,
21/08/2024,One Innovale 2期 C座 高層 9室,"$11,800",311,38,$37.94,TRUE,
21/08/2024,御金‧國峰 1座 中層 A室,"$48,000",1132,42,$42.40,TRUE,
21/08/2024,君臨天下 2座 中層 E室,"$38,000",743,51,$51.14,TRUE,
21/08/2024,益漢洋樓 中層 F室,"$13,500",315,43,$42.86,TRUE,
21/08/2024,東環 1期 3B座 低層 3室,"$18,000",451,40,$39.91,TRUE,
21/08/2024,One Soho 高層 B6室,"$19,500",299,65,$65.22,TRUE,
21/08/2024,大埔中心 3期 21座 低層 G室,"$12,800",315,41,$40.63,TRUE,
21/08/2024,御龍山 9座 高層 B室,"$46,000",1411,33,$32.60,TRUE,
21/08/2024,嘉匯 9座 中層 E室,"$27,000",632,43,$42.72,TRUE,
21/08/2024,昌和閣 中層 6號,"$31,500",765,41,$41.18,TRUE,
21/08/2024,海怡半島 4期 御庭園 御盈居 (26座) 低層 F室,"$30,000",743,40,$40.38,TRUE,
21/08/2024,御半山 1期 1B座 中層 K室,"$16,500",454,36,$36.34,TRUE,
21/08/2024,富康花園 4座 高層 K室,"$14,000",431,32,$32.48,TRUE,
21/08/2024,Wetland Seasons Park 1期 23座 高層 A3室,"$20,000",700,29,$28.57,TRUE,
21/08/2024,Novo Land 1A期 Elverum 1座 高層 B室,"$15,000",420,36,$35.71,TRUE,
21/08/2024,大埔寶馬山 6座 高層 D室,"$20,500",756,27,$27.12,TRUE,
21/08/2024,新達廣場 5座 高層 D室,"$16,500",465,35,$35.48,TRUE,
21/08/2024,屯門市廣場 1期 4座 高層 K室,"$11,500",393,29,$29.26,TRUE,
21/08/2024,全輝中心 B座 中層 7室,"$12,800",277,46,$46.21,TRUE,
21/08/2024,峻巒 2B期 Park Yoho Napoli 25A座 中層 B室,"$21,000",717,29,$29.29,TRUE,
21/08/2024,海怡半島 2期 怡豐閣 (11座) 低層 H室,"$27,000",773,35,$34.93,TRUE,
21/08/2024,立坊 中層 7室,"$17,000",434,39,$39.17,TRUE,
21/08/2024,海濱南岸 3座 中層 B室,"$27,800",593,47,$46.88,TRUE,
21/08/2024,海濱南岸 7座 中層 E室,"$23,000",481,48,$47.82,TRUE,
21/08/2024,玉龍樓 低層 E室,"$10,000",288,35,$34.72,TRUE,
21/08/2024,The Yoho Hub B期 2座 中層 F室,"$17,000",463,37,$36.72,TRUE,
20/08/2024,港島南岸 1期 晉環 1座 (1B) 低層 C室,"$26,000",476,55,$54.62,TRUE,
20/08/2024,薄扶林道63號 1座 (Amber House) 中層 G室,"$17,800",258,69,$68.99,TRUE,
20/08/2024,采文軒 高層 C室,"$24,000",384,63,$62.50,TRUE,
20/08/2024,香港仔中心 港興閣 (J座) 高層 6室,"$15,500",448,35,$34.60,TRUE,
20/08/2024,置富花園 富興苑 (H-20座) 高層 E室,"$16,000",439,36,$36.45,TRUE,
20/08/2024,置富花園 富明苑 (H-17座) 低層 A室,"$16,000",439,36,$36.45,TRUE,
20/08/2024,囍匯 2期 3座 低層 C室,"$24,500",443,55,$55.30,TRUE,
20/08/2024,東盛臺 中層 B室,"$17,600",413,43,$42.62,TRUE,
20/08/2024,珀玥 中層 G室,"$15,000",296,51,$50.68,TRUE,
20/08/2024,海日灣II 6座 中層 E室,"$32,000",1041,31,$30.74,TRUE,
20/08/2024,名城 3期 盛世 5座 低層 SD室,"$31,500",757,42,$41.61,TRUE,
20/08/2024,粉嶺名都 百利閣 (2座) 中層 A室,"$12,000",399,30,$30.08,TRUE,
20/08/2024,粉嶺名都 怡景閣 (5座) 中層 D室,"$14,500",454,32,$31.94,TRUE,
20/08/2024,碧湖花園 8座 中層 A室,"$13,200",441,30,$29.93,TRUE,
20/08/2024,蝶翠峰 5期 尚悅‧嶺 2座 中層 F室,"$11,500",270,43,$42.59,TRUE,
20/08/2024,雲滙 2期 9座 低層 A1室,"$32,000",836,38,$38.28,TRUE,
20/08/2024,Novo Land 1B期 Bergen 3座 高層 K室,"$13,000",301,43,$43.19,TRUE,
20/08/2024,環宇海灣 3座 高層 A室,"$20,500",566,36,$36.22,TRUE,
20/08/2024,昇悅居 8座 高層 F室,"$27,500",670,41,$41.04,TRUE,
20/08/2024,宇晴軒 1期 5座 中層 B室,"$18,500",464,40,$39.87,TRUE,
20/08/2024,港灣豪庭 2期 10座 高層 B室,"$18,000",424,42,$42.45,TRUE,
20/08/2024,珀玥 中層 B室,"$14,500",228,64,$63.60,TRUE,
20/08/2024,萬寶大廈 低層 D室,"$8,800",254,35,$34.65,TRUE,
20/08/2024,莊士明德軒 中層 C室,"$15,000",264,57,$56.82,TRUE,
20/08/2024,沙田第一城 7期 36座 低層 D室,"$15,000",307,49,$48.86,TRUE,
20/08/2024,星凱‧堤岸 1座 低層 C室,"$15,500",228,68,$67.98,TRUE,
20/08/2024,沙田第一城 3期 32座 低層 H室,"$13,500",327,41,$41.28,TRUE,
20/08/2024,貝沙灣 4期 南灣 1座 低層 C室,"$52,000",1281,41,$40.59,TRUE,
20/08/2024,好運中心 柏林閣 (C2座) 高層 F室,"$15,500",334,46,$46.41,TRUE,
20/08/2024,沙田中心 安寧大廈 (E座) 低層 B室,"$15,000",347,43,$43.23,TRUE,
20/08/2024,愉景灣 3期寶峰 寶琳閣 中層 D室,"$21,500",769,28,$27.96,TRUE,
20/08/2024,日出康城 5期A Malibu 1A座 高層 A室,"$42,500",1087,39,$39.10,TRUE,
20/08/2024,好運中心 棕林閣 (B1座) 中層 F室,"$15,500",334,46,$46.41,TRUE,
20/08/2024,名城 2期 盛薈 1座 中層 NB室,"$32,000",842,38,$38.00,TRUE,
20/08/2024,名城 3期 盛世 3座 高層 SD室,"$30,800",757,41,$40.69,TRUE,
20/08/2024,名城 3期 盛世 1座 中層 SD室,"$29,000",--,--,#VALUE!,FALSE,
20/08/2024,溱岸8號 1座 中層 B室,"$36,000",935,39,$38.50,TRUE,
20/08/2024,環海．東岸 高層 K室(T1a),"$13,500",194,70,$69.59,TRUE,
20/08/2024,瓏碧 高層 E室,"$16,800",283,59,$59.36,TRUE,
20/08/2024,龍譽 2B座 中層 E室,"$24,000",520,46,$46.15,TRUE,
20/08/2024,凱旋門 摩天閣 (1座) 低層 B室,"$47,000",840,56,$55.95,TRUE,
20/08/2024,德福花園 C座 高層 9室,"$17,500",556,31,$31.47,TRUE,
20/08/2024,淘大花園 1期 C座 低層 5室,"$14,200",390,36,$36.41,TRUE,
20/08/2024,Ava 228 中層 D室,"$10,400",151,69,$68.87,TRUE,
20/08/2024,河畔花園 F座 高層 7室,"$13,000",242,54,$53.72,TRUE,
20/08/2024,荔欣苑 荔影閣 (A座) 中層 14室,"$13,000",431,30,$30.16,TRUE,
20/08/2024,佳悅 中層 D室,"$14,500",280,52,$51.79,TRUE,
20/08/2024,盈暉臺 2座 低層 C室,"$20,000",455,44,$43.96,TRUE,
20/08/2024,University Hill 2B期 優景閣 第3座 中層 B1室,"$14,800",377,39,$39.26,TRUE,
20/08/2024,利奧坊‧曦岸 2座 中層 E室,"$15,300",258,59,$59.30,TRUE,
20/08/2024,粉嶺中心 2期 K座 高層 4室,"$13,000",365,36,$35.62,TRUE,
20/08/2024,牽晴間 11座 低層 H室,"$13,300",388,34,$34.28,TRUE,
20/08/2024,名城 2期 盛薈 3座 低層 NA室,"$28,000",741,38,$37.79,TRUE,
20/08/2024,天晉 天晉 8座 低層 E室,"$30,000",617,49,$48.62,TRUE,
20/08/2024,兆康苑 兆賢閣 (A座) 高層 7室,"$13,000",423,31,$30.73,TRUE,
20/08/2024,大興花園 2期 2座 中層 B室,"$12,000",447,27,$26.85,TRUE,
20/08/2024,景明苑 曦景閣 (A座) 中層 10室,"$13,000",401,32,$32.42,TRUE,
20/08/2024,嘉湖山莊 7期 景湖居 3座 中層 H室,"$12,500",547,23,$22.85,TRUE,
20/08/2024,倚嶺南庭 高層 A室,"$16,000",549,29,$29.14,TRUE,
20/08/2024,翠林花園 B座 低層 4室,"$9,800",330,30,$29.70,TRUE,
20/08/2024,翰林峰 2座 低層 D室,"$16,800",225,75,$74.67,TRUE,
20/08/2024,半山捌號 低層 D室,"$15,000",202,74,$74.26,TRUE,
20/08/2024,嘉亨灣 6座 中層 C室,"$37,000",749,49,$49.40,TRUE,
20/08/2024,嘉亨灣 2座 低層 D室,"$22,000",496,44,$44.35,TRUE,
20/08/2024,鯉景灣 D段 安明閣 (17座) 低層 C室,"$20,000",509,39,$39.29,TRUE,
20/08/2024,盈翠半島 2期 9座 低層 B室,"$30,000",765,39,$39.22,TRUE,
20/08/2024,維景灣畔 3期 13 座 低層 H室,"$18,000",503,36,$35.79,TRUE,
20/08/2024,天晉 海天晉 3座 高層 C室,"$23,000",518,44,$44.40,TRUE,
20/08/2024,寶馬山花園 2期 16座 高層 C室,"$35,000",797,44,$43.91,TRUE,
20/08/2024,碧翠園 B座 低層 C室,"$30,000",714,42,$42.02,TRUE,
20/08/2024,高宏閣 中層 A室,"$12,800",276,46,$46.38,TRUE,
20/08/2024,昇雲大廈 中層 A室(66號),"$14,000",327,43,$42.81,TRUE,
20/08/2024,富澤花園 富達閣 高層 G室,"$23,500",652,36,$36.04,TRUE,
20/08/2024,帝御 1期 帝御‧金灣 5座 高層 3室,"$13,500",424,32,$31.84,TRUE,
20/08/2024,高雅閣 低層 G室,"$16,000",311,51,$51.45,TRUE,
20/08/2024,昌裕大廈 高層 A室,"$15,000",253,59,$59.29,TRUE,
20/08/2024,康山花園 3座 低層 F室,"$21,000",592,35,$35.47,TRUE,
20/08/2024,康怡花園 R座 (9-16室) 高層 10室,"$21,000",466,45,$45.06,TRUE,
20/08/2024,One Homantin 5座 高層 E室,"$31,800",651,49,$48.85,TRUE,
20/08/2024,翰林峰 1座 低層 D室,"$17,000",215,79,$79.07,TRUE,
20/08/2024,康山花園 1座 中層 E室,"$16,000",431,37,$37.12,TRUE,
20/08/2024,日出康城 8期 Sea To Sky 2座 中層 E室,"$18,500",470,39,$39.36,TRUE,
20/08/2024,日出康城 6期 Lp6 5座 低層 J室,"$15,000",309,49,$48.54,TRUE,
20/08/2024,皓畋 7座 中層 F室,"$26,500",589,45,$44.99,TRUE,
20/08/2024,帝景園 5座 低層 A室,"$65,000",1522,43,$42.71,TRUE,
20/08/2024,肇苑 高層 10號,"$63,300",1615,39,$39.20,TRUE,
20/08/2024,維景灣畔 1期 2座 中層 A室,"$18,500",516,36,$35.85,TRUE,
20/08/2024,日出康城 7期A Montara 2座 (2B) 低層 D室,"$19,000",482,39,$39.42,TRUE,
20/08/2024,環海．東岸 高層 K室(T1c),"$14,000",216,65,$64.81,TRUE,
20/08/2024,海濱南岸 5座 中層 F室,"$22,000",432,51,$50.93,TRUE,
20/08/2024,黃埔花園 4期 棕櫚苑 3座 高層 H室,"$26,000",757,34,$34.35,TRUE,
20/08/2024,龍蟠苑 龍璋閣 (E座) 中層 4室,"$15,500",383,40,$40.47,TRUE,
20/08/2024,怡樂花園 1座 高層 F室,"$11,800",511,23,$23.09,TRUE,
20/08/2024,海茵莊園 2座 低層 C6室,"$15,500",280,55,$55.36,TRUE,
20/08/2024,都會駅 2期 城中駅 10座 低層 G室,"$32,000",897,36,$35.67,TRUE,
20/08/2024,蔚藍灣畔 7座 低層 C室,"$18,500",484,38,$38.22,TRUE,
20/08/2024,日出康城 5期A Malibu 3B座 中層 C室,"$20,800",540,39,$38.52,TRUE,
20/08/2024,南豐廣場 1座 低層 A室,"$22,500",702,32,$32.05,TRUE,
20/08/2024,金暉苑 B室,"$31,000",855,36,$36.26,TRUE,
20/08/2024,峻弦 6座 高層 C室,"$29,000",857,34,$33.84,TRUE,
20/08/2024,One Soho 中層 B2室,"$17,500",285,61,$61.40,TRUE,
20/08/2024,福滿大廈 高層 D室,"$13,000",183,71,$71.04,TRUE,
20/08/2024,天寰 天海匯2座 低層 D室,"$21,000",474,44,$44.30,TRUE,
20/08/2024,翔龍灣 1座 低層 H室,"$16,500",360,46,$45.83,TRUE,
20/08/2024,尚．珒溋 2座 高層 F室,"$37,500",753,50,$49.80,TRUE,
20/08/2024,安寧花園 5座 高層 B室,"$19,000",538,35,$35.32,TRUE,
20/08/2024,新都城 2期 2座 中層 C室,"$16,000",363,44,$44.08,TRUE,
20/08/2024,傲瀧 12座 低層 E室,"$39,000",894,44,$43.62,TRUE,
20/08/2024,海茵莊園 1座 中層 B1室,"$15,000",291,52,$51.55,TRUE,
20/08/2024,Larchwood 中層 G室,"$13,000",205,63,$63.41,TRUE,
20/08/2024,都會駅 1期 1座 低層 E室,"$18,000",488,37,$36.89,TRUE,
20/08/2024,藍塘傲 6座 中層 C室,"$17,500",404,43,$43.32,TRUE,
20/08/2024,日出康城 4期A 晉海 2B座 中層 D室,"$18,500",473,39,$39.11,TRUE,
20/08/2024,The Henley 1期 低座 B座 中層 G室,"$15,000",208,72,$72.12,TRUE,
20/08/2024,灣景花園 3座 低層 A室,"$18,500",610,30,$30.33,TRUE,
20/08/2024,韻濤居 A座 低層 2室,"$22,500",738,30,$30.49,TRUE,
20/08/2024,深灣軒 2座 中層 E室,"$19,000",488,39,$38.93,TRUE,
20/08/2024,海名軒 3座 高層 B室,"$70,000",1580,44,$44.30,TRUE,
20/08/2024,Wetland Seasons Bay 2期 1B座 低層 C1室,"$8,000",267,30,$29.96,TRUE,
20/08/2024,利奧坊．壹隅 1座 高層 H室,"$15,800",269,59,$58.74,TRUE,
20/08/2024,星凱‧堤岸 1座 中層 A室,"$33,200",732,45,$45.36,TRUE,
20/08/2024,漾日居 1期 1座 低層 E室,"$43,800",948,46,$46.20,TRUE,
20/08/2024,The Austin 3A座 高層 A室,"$43,000",899,48,$47.83,TRUE,
20/08/2024,南昌一號 高層 D室,"$20,800",419,50,$49.64,TRUE,
20/08/2024,佳悅 高層 E室,"$13,000",215,60,$60.47,TRUE,
20/08/2024,嘉輝花園 B座 中層 6室,"$13,500",221,61,$61.09,TRUE,
20/08/2024,高逸華軒 高層 E室,"$28,500",438,65,$65.07,TRUE,
20/08/2024,海逸豪園 3期 悅濤灣 15A座 高層 G室,"$22,500",561,40,$40.11,TRUE,
20/08/2024,啟岸 低層 D8室,"$16,000",266,60,$60.15,TRUE,
20/08/2024,星凱‧堤岸 5座 高層 B室,"$25,000",495,51,$50.51,TRUE,
20/08/2024,上源 5A座 中層 A室,"$12,500",439,28,$28.47,TRUE,
20/08/2024,One Innovale 3期 D座 高層 5室,"$9,200",196,47,$46.94,TRUE,
20/08/2024,聚康山莊 1座 高層 G室,"$14,500",448,32,$32.37,TRUE,
20/08/2024,天璽 21座 - 5區 (星鑽) 中層 E室,"$48,000",831,58,$57.76,TRUE,
20/08/2024,牽晴間 6座 高層 F室,"$16,500",--,--,#VALUE!,FALSE,
20/08/2024,上水中心 2座 中層 H室,"$11,000",351,31,$31.34,TRUE,
20/08/2024,立坊 中層 1室,"$12,800",244,52,$52.46,TRUE,
20/08/2024,爾巒 茵娜大道 8座 中層 B室,"$19,000",649,29,$29.28,TRUE,
20/08/2024,峻巒 2B期 Park Yoho Napoli 20座 高層 B室,"$28,000",932,30,$30.04,TRUE,
20/08/2024,銅鑼灣道34號 前座,"$15,000",442,34,$33.94,TRUE,
20/08/2024,和富中心 8座 低層 B室,"$47,000",1308,36,$35.93,TRUE,
20/08/2024,Grand Yoho 2期 5座 低層 G室,"$20,200",536,38,$37.69,TRUE,
20/08/2024,峻巒 2C期 Park Yoho Milano 32A座 低層 B室,"$13,500",405,33,$33.33,TRUE,
20/08/2024,立坊 中層 5室,"$18,000",423,43,$42.55,TRUE,
20/08/2024,新達廣場 2座 中層 E室,"$17,800",465,38,$38.28,TRUE,
20/08/2024,藝里坊．1號 低層 K室,"$19,500",286,68,$68.18,TRUE,
20/08/2024,翰林峰 3座 高層 A室,"$35,000",540,65,$64.81,TRUE,
